288	10
14	191	3	8	4	9	12	32	5.3	0	13
10	-17	17	29	4	11	6	26	8.3	0	6
7	21	10	19	6	10	5	17	2.9	1	9
5	-134	30	11	1	7	8	9	0.4	0	5
11	72	11	12	6	23	27	22	3.3	0	13
8	22	21	7	7	19	24	12	2.6	0	9
1	-188	31	31	1	21	21	1	50.1	0	0
6	10	24	17	5	27	29	8	6.6	0	7
9	-49	28	1	1	19	25	23	4.9	0	4
9	3	15	20	5	23	30	4	24.0	0	9
8	19	8	30	2	22	32	11	6.6	0	4
3	-82	25	6	0	23	30	6	39.3	1	10
12	78	13	24	7	16	2	18	5.0	0	10
12	31	7	26	7	15	4	24	8.0	0	6
9	36	22	4	6	14	1	16	7.2	1	5
5	-13	9	16	3	13	3	10	0.1	1	9
13	115	5	14	7	27	10	29	2.4	0	9
11	26	26	10	4	30	8	25	1.8	0	3
8	13	12	28	6	17	7	14	15.0	0	7
7	36	16	13	4	26	13	15	7.9	0	13
10	44	4	22	4	32	18	27	8.0	0	7
9	-12	20	18	1	27	21	21	4.7	0	9
8	20	23	3	6	18	27	28	0.4	0	13
3	-120	29	15	2	30	19	3	8.1	0	5
11	134	1	25	6	1	13	30	0.9	0	10
9	-15	19	23	2	5	14	20	5.3	0	5
7	15	2	27	1	4	15	5	5.7	0	11
6	-33	15	21	6	12	16	7	13.2	0	11
10	62	18	5	7	5	25	19	2.1	0	9
7	56	6	2	3	7	23	15	4.4	0	8
4	-170	32	9	3	3	17	31	0.3	1	11
2	-171	27	32	0	1	20	2	38.7	1	6
12	150	6	9	7	22	9	28	1.3	0	14
6	-79	26	25	5	17	11	14	9.1	1	10
8	20	13	19	4	19	10	16	4.4	0	7
13	10	4	5	8	7	24	5	2.5	0	10
10	104	3	21	3	1	23	29	3.0	0	11
5	-73	14	8	5	11	19	4	1.6	0	8
3	-154	25	27	3	9	21	1	20.7	1	1
12	140	15	11	8	2	27	27	7.6	0	6
9	26	19	3	3	30	19	20	1.6	0	9
3	-124	30	12	2	26	23	2	20.7	0	9
8	-75	28	26	3	31	22	21	5.0	0	8
5	-72	18	24	1	25	23	7	32.7	0	3
11	118	27	7	6	7	16	31	2.6	0	12
7	-40	24	22	6	8	15	12	13.4	0	12
12	59	16	1	4	10	14	23	3.3	0	9
4	-78	9	20	1	16	13	5	2.3	0	5
4	-99	22	17	5	24	27	6	3.6	0	13
6	-22	8	32	4	20	30	11	11.2	1	11
9	9	17	28	1	21	17	22	5.8	0	8
7	-53	12	30	4	23	26	13	7.0	1	7
10	45	23	15	5	14	32	18	7.0	0	10
